"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"155","D1ACTD_0H__01_Cell_CP_96_IFN","ACTD","D1","0","IFN",8,8,16,0,0,0
"156","D1ACTD_0H__01_Cell_CP_96_TNF","ACTD","D1","0","TNF",7,4,11,0,0,0
"157","D1ACTD_0H__01_Cell_CP_97_IFN","ACTD","D1","0","IFN",8,9,17,0,0,0
"158","D1ACTD_0H__01_Cell_CP_97_TNF","ACTD","D1","0","TNF",1,8,9,0,0,0
"159","D1ACTD_0H__01_Cell_CP_98_IFN","ACTD","D1","0","IFN",2,1,3,0,0,0
"160","D1ACTD_0H__01_Cell_CP_98_TNF","ACTD","D1","0","TNF",2,2,4,0,0,0
"161","D1ACTD_0H__02_Cell_CP_10_IFN","ACTD","D1","0","IFN",4,0,4,0,0,0
"162","D1ACTD_0H__02_Cell_CP_10_TNF","ACTD","D1","0","TNF",2,0,2,0,0,0
"163","D1ACTD_0H__02_Cell_CP_12_IFN","ACTD","D1","0","IFN",4,17,21,0,0,0
"164","D1ACTD_0H__02_Cell_CP_12_TNF","ACTD","D1","0","TNF",9,10,19,0,0,0
"165","D1ACTD_0H__02_Cell_CP_13_IFN","ACTD","D1","0","IFN",4,9,13,0,0,0
"166","D1ACTD_0H__02_Cell_CP_13_TNF","ACTD","D1","0","TNF",3,4,7,0,0,0
"167","D1ACTD_0H__02_Cell_CP_14_IFN","ACTD","D1","0","IFN",0,5,5,0,0,0
"168","D1ACTD_0H__02_Cell_CP_14_TNF","ACTD","D1","0","TNF",2,3,5,0,0,0
"169","D1ACTD_0H__02_Cell_CP_15_IFN","ACTD","D1","0","IFN",3,2,5,0,0,0
"170","D1ACTD_0H__02_Cell_CP_15_TNF","ACTD","D1","0","TNF",2,3,5,0,0,0
"171","D1ACTD_0H__02_Cell_CP_17_IFN","ACTD","D1","0","IFN",2,1,3,0,0,0
"172","D1ACTD_0H__02_Cell_CP_17_TNF","ACTD","D1","0","TNF",3,1,4,0,0,0
"173","D1ACTD_0H__02_Cell_CP_18_IFN","ACTD","D1","0","IFN",10,4,14,0,0,0
"174","D1ACTD_0H__02_Cell_CP_18_TNF","ACTD","D1","0","TNF",4,6,10,0,0,0
"175","D1ACTD_0H__02_Cell_CP_19_IFN","ACTD","D1","0","IFN",10,3,13,0,0,0
"176","D1ACTD_0H__02_Cell_CP_19_TNF","ACTD","D1","0","TNF",4,3,7,0,0,0
"177","D1ACTD_0H__02_Cell_CP_20_IFN","ACTD","D1","0","IFN",4,10,14,0,0,0
"178","D1ACTD_0H__02_Cell_CP_20_TNF","ACTD","D1","0","TNF",7,7,14,0,0,0
"179","D1ACTD_0H__02_Cell_CP_21_IFN","ACTD","D1","0","IFN",1,10,11,0,0,0
"180","D1ACTD_0H__02_Cell_CP_21_TNF","ACTD","D1","0","TNF",11,1,12,0,0,0
