"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"328","D1C_0H_02_Cell_CP_25_TNF","C","D1","0","TNF",1,6,7,6,0,6
"329","D1C_0H_02_Cell_CP_26_IFN","C","D1","0","IFN",4,3,7,0,0,0
"330","D1C_0H_02_Cell_CP_26_TNF","C","D1","0","TNF",8,8,16,0,0,0
"334","D1C_0H_02_Cell_CP_28_TNF","C","D1","0","TNF",1,1,2,0,0,0
"335","D1C_0H_02_Cell_CP_29_IFN","C","D1","0","IFN",2,1,3,3,0,3
"336","D1C_0H_02_Cell_CP_29_TNF","C","D1","0","TNF",0,2,2,0,0,0
"337","D1C_0H_02_Cell_CP_30_IFN","C","D1","0","IFN",4,1,5,0,0,0
"338","D1C_0H_02_Cell_CP_30_TNF","C","D1","0","TNF",6,5,11,0,0,0
"339","D1C_0H_02_Cell_CP_31_IFN","C","D1","0","IFN",0,3,3,10,5,15
"340","D1C_0H_02_Cell_CP_31_TNF","C","D1","0","TNF",1,2,3,0,0,0
"341","D1C_0H_02_Cell_CP_32_IFN","C","D1","0","IFN",0,2,2,0,0,0
"342","D1C_0H_02_Cell_CP_32_TNF","C","D1","0","TNF",5,11,16,0,0,0
"344","D1C_0H_02_Cell_CP_33_TNF","C","D1","0","TNF",0,2,2,0,0,0
"345","D1C_0H_02_Cell_CP_34_IFN","C","D1","0","IFN",11,24,35,0,0,0
"346","D1C_0H_02_Cell_CP_34_TNF","C","D1","0","TNF",6,8,14,5,0,5
"347","D1C_0H_02_Cell_CP_35_IFN","C","D1","0","IFN",0,1,1,0,0,0
"348","D1C_0H_02_Cell_CP_35_TNF","C","D1","0","TNF",0,1,1,0,0,0
"351","D1C_0H_02_Cell_CP_37_IFN","C","D1","0","IFN",1,4,5,0,0,0
"352","D1C_0H_02_Cell_CP_37_TNF","C","D1","0","TNF",11,7,18,5,0,5
"355","D1C_0H_02_Cell_CP_39_IFN","C","D1","0","IFN",3,0,3,0,0,0
"357","D1C_0H_02_Cell_CP_40_IFN","C","D1","0","IFN",5,2,7,0,0,0
"358","D1C_0H_02_Cell_CP_40_TNF","C","D1","0","TNF",1,2,3,0,0,0
"360","D1C_0H_02_Cell_CP_41_TNF","C","D1","0","TNF",7,7,14,0,0,0
"370","D1C_0H_02_Cell_CP_46_TNF","C","D1","0","TNF",1,7,8,0,0,0
"371","D1C_0H_02_Cell_CP_47_IFN","C","D1","0","IFN",5,8,13,11,0,11
"372","D1C_0H_02_Cell_CP_47_TNF","C","D1","0","TNF",21,16,37,0,0,0
"373","D1C_0H_02_Cell_CP_49_IFN","C","D1","0","IFN",0,1,1,0,0,0
"374","D1C_0H_02_Cell_CP_49_TNF","C","D1","0","TNF",0,4,4,0,0,0
"375","D1C_0H_02_Cell_CP_50_IFN","C","D1","0","IFN",0,2,2,0,0,0
"376","D1C_0H_02_Cell_CP_50_TNF","C","D1","0","TNF",3,8,11,3,0,3
"377","D1C_0H_02_Cell_CP_52_IFN","C","D1","0","IFN",0,1,1,0,0,0
"378","D1C_0H_02_Cell_CP_52_TNF","C","D1","0","TNF",1,1,2,0,0,0
"380","D1C_0H_02_Cell_CP_53_TNF","C","D1","0","TNF",0,2,2,0,0,0
"381","D1C_0H_02_Cell_CP_54_IFN","C","D1","0","IFN",0,1,1,0,0,0
"382","D1C_0H_02_Cell_CP_54_TNF","C","D1","0","TNF",1,4,5,0,0,0
"384","D1C_0H_02_Cell_CP_55_TNF","C","D1","0","TNF",0,1,1,0,0,0
"386","D1C_0H_02_Cell_CP_56_TNF","C","D1","0","TNF",3,36,39,0,0,0
"387","D1C_0H_02_Cell_CP_57_IFN","C","D1","0","IFN",0,1,1,8,8,16
"388","D1C_0H_02_Cell_CP_57_TNF","C","D1","0","TNF",4,1,5,0,0,0
"389","D1C_0H_02_Cell_CP_58_IFN","C","D1","0","IFN",3,1,4,0,0,0
"390","D1C_0H_02_Cell_CP_58_TNF","C","D1","0","TNF",1,0,1,0,0,0
"391","D1C_0H_02_Cell_CP_59_IFN","C","D1","0","IFN",3,0,3,0,0,0
"392","D1C_0H_02_Cell_CP_59_TNF","C","D1","0","TNF",6,3,9,0,0,0
"393","D1C_0H_02_Cell_CP_6_IFN","C","D1","0","IFN",0,4,4,0,0,0
"394","D1C_0H_02_Cell_CP_6_TNF","C","D1","0","TNF",1,0,1,0,0,0
"395","D1C_0H_02_Cell_CP_60_IFN","C","D1","0","IFN",3,0,3,0,0,0
"396","D1C_0H_02_Cell_CP_60_TNF","C","D1","0","TNF",2,4,6,0,0,0
"397","D1C_0H_02_Cell_CP_61_IFN","C","D1","0","IFN",1,0,1,0,0,0
"398","D1C_0H_02_Cell_CP_61_TNF","C","D1","0","TNF",1,1,2,0,0,0
