"","IFNG","TNF","Donor","timepoint","quadrant","condition"
"307","1533.802734375","4775.37646484375","D1","1h","TNF_single_producer","KO"
"308","1098.50476074219","703.7392578125","D1","1h","TNF_single_producer","KO"
"309","1007.66711425781","5909.17529296875","D1","1h","TNF_single_producer","KO"
"310","637.757263183594","3342.33374023438","D1","1h","TNF_single_producer","KO"
"311","1587.52661132812","2143.93798828125","D1","1h","TNF_single_producer","KO"
"312","1064.40783691406","9251.458984375","D1","1h","TNF_single_producer","KO"
"313","643.682189941406","2338.03442382812","D1","1h","TNF_single_producer","KO"
"314","835.907958984375","5947.2421875","D1","1h","TNF_single_producer","KO"
"315","1445.94360351562","6960.60888671875","D1","1h","TNF_single_producer","KO"
"316","699.357543945312","4644.58642578125","D1","1h","TNF_single_producer","KO"
"317","946.353759765625","1056.94287109375","D1","1h","TNF_single_producer","KO"
"318","481.264343261719","1779.70251464844","D1","1h","TNF_single_producer","KO"
"319","1429.73486328125","2665.11596679688","D1","1h","TNF_single_producer","KO"
"320","735.551147460938","670.397583007812","D1","1h","TNF_single_producer","KO"
"321","1550.74597167969","2778.95239257812","D1","1h","TNF_single_producer","KO"
"322","1112.76232910156","24016.619140625","D1","1h","TNF_single_producer","KO"
"323","952.856689453125","2972.923828125","D1","1h","TNF_single_producer","KO"
"324","994.679809570312","2577.60083007812","D1","1h","TNF_single_producer","KO"
"325","1203.12878417969","4419.0654296875","D1","1h","TNF_single_producer","KO"
"326","1509.3603515625","4670.986328125","D1","1h","TNF_single_producer","KO"
"327","381.679321289062","556.043701171875","D1","1h","TNF_single_producer","KO"
"328","1154.68884277344","5525.6318359375","D1","1h","TNF_single_producer","KO"
"329","998.9306640625","743.2861328125","D1","1h","TNF_single_producer","KO"
"330","990.4306640625","3991.53515625","D1","1h","TNF_single_producer","KO"
"331","888.991516113281","1607.56164550781","D1","1h","TNF_single_producer","KO"
"332","968.891296386719","1638.30700683594","D1","1h","TNF_single_producer","KO"
"333","919.389099121094","6125.8349609375","D1","1h","TNF_single_producer","KO"
"334","1081.99206542969","9863.26953125","D1","1h","TNF_single_producer","KO"
"335","946.636901855469","1444.38146972656","D1","1h","TNF_single_producer","KO"
"336","808.271179199219","6817.8603515625","D1","1h","TNF_single_producer","KO"
"337","1235.40344238281","4073.1767578125","D1","1h","TNF_single_producer","KO"
"338","549.649597167969","4446.1669921875","D1","1h","TNF_single_producer","KO"
"339","1392.88720703125","505.076934814453","D1","1h","TNF_single_producer","KO"
"340","871.216186523438","1898.11999511719","D1","1h","TNF_single_producer","KO"
"341","1235.24670410156","13910.130859375","D1","1h","TNF_single_producer","KO"
"342","714.720642089844","7680.962890625","D1","1h","TNF_single_producer","KO"
"343","806.328491210938","1313.37048339844","D1","1h","TNF_single_producer","KO"
"344","701.936584472656","5809.03564453125","D1","1h","TNF_single_producer","KO"
"345","735.296997070312","8342.5234375","D1","1h","TNF_single_producer","KO"
"346","681.734924316406","3584.34130859375","D1","1h","TNF_single_producer","KO"
"347","934.9111328125","1245.134765625","D1","1h","TNF_single_producer","KO"
"348","1155.99304199219","1016.10046386719","D1","1h","TNF_single_producer","KO"
"349","796.501525878906","3542.84399414062","D1","1h","TNF_single_producer","KO"
"350","595.608947753906","9125.412109375","D1","1h","TNF_single_producer","KO"
"351","678.521850585938","6531.33154296875","D1","1h","TNF_single_producer","KO"
"352","794.159362792969","1262.78894042969","D1","1h","TNF_single_producer","KO"
"353","1265.93359375","4232.1484375","D1","1h","TNF_single_producer","KO"
"354","929.387390136719","2241.87719726562","D1","1h","TNF_single_producer","KO"
"355","1199.12475585938","1607.25866699219","D1","1h","TNF_single_producer","KO"
"356","1423.68493652344","1834.74560546875","D1","1h","TNF_single_producer","KO"
"357","759.093322753906","882.792053222656","D1","1h","TNF_single_producer","KO"
"358","1038.09326171875","520.006042480469","D1","1h","TNF_single_producer","KO"
"359","1102.44470214844","1320.01416015625","D1","1h","TNF_single_producer","KO"
"360","1375.66015625","13852.107421875","D1","1h","TNF_single_producer","KO"
"361","648.387084960938","3359.9140625","D1","1h","TNF_single_producer","KO"
"362","591.652160644531","5705.69873046875","D1","1h","TNF_single_producer","KO"
"363","1416.92492675781","4254.9541015625","D1","1h","TNF_single_producer","KO"
"364","1149.59558105469","975.346130371094","D1","1h","TNF_single_producer","KO"
"365","1081.57641601562","5961.7109375","D1","1h","TNF_single_producer","KO"
"366","1001.25897216797","2197.953125","D1","1h","TNF_single_producer","KO"
"367","1162.95935058594","3319.4052734375","D1","1h","TNF_single_producer","KO"
"368","1362.60192871094","3729.60693359375","D1","1h","TNF_single_producer","KO"
"369","1517.69885253906","1887.11535644531","D1","1h","TNF_single_producer","KO"
"370","753.656494140625","8859.2763671875","D1","1h","TNF_single_producer","KO"
"371","1253.50415039062","897.060913085938","D1","1h","TNF_single_producer","KO"
"372","1124.59045410156","2339.78564453125","D1","1h","TNF_single_producer","KO"
"373","1453.28747558594","4267.65283203125","D1","1h","TNF_single_producer","KO"
"374","1264.82067871094","3722.61059570312","D1","1h","TNF_single_producer","KO"
