"","ID","N_nascent_Ts_1","N_nascent_Ts_2"
"232","D1_0HCD3CD28_05_Cell_CP_15_TNF",NA,NA
"233","D1_0HCD3CD28_05_Cell_CP_16_TNF",NA,NA
"234","D1_0HCD3CD28_05_Cell_CP_18_TNF",NA,NA
"235","D1_0HCD3CD28_05_Cell_CP_20_TNF",NA,NA
"236","D1_0HCD3CD28_05_Cell_CP_21_TNF",NA,NA
"237","D1_0HCD3CD28_05_Cell_CP_22_TNF",NA,NA
"238","D1_0HCD3CD28_05_Cell_CP_23_TNF",NA,NA
"239","D1_0HCD3CD28_05_Cell_CP_24_TNF",NA,NA
"240","D1_0HCD3CD28_05_Cell_CP_26_TNF",NA,NA
"241","D1_0HCD3CD28_05_Cell_CP_27_TNF",NA,NA
"242","D1_0HCD3CD28_05_Cell_CP_28_TNF",NA,NA
"243","D1_0HCD3CD28_05_Cell_CP_29_TNF",NA,NA
"244","D1_0HCD3CD28_05_Cell_CP_3_TNF",NA,NA
"245","D1_0HCD3CD28_05_Cell_CP_31_TNF",NA,NA
"246","D1_0HCD3CD28_05_Cell_CP_32_TNF",NA,NA
"247","D1_0HCD3CD28_05_Cell_CP_34_TNF",NA,NA
"248","D1_0HCD3CD28_05_Cell_CP_35_TNF",11,NA
"249","D1_0HCD3CD28_05_Cell_CP_36_TNF",NA,NA
"250","D1_0HCD3CD28_05_Cell_CP_37_TNF",NA,NA
"251","D1_0HCD3CD28_05_Cell_CP_38_TNF",NA,NA
"252","D1_0HCD3CD28_05_Cell_CP_39_TNF",NA,NA
"253","D1_0HCD3CD28_05_Cell_CP_4_TNF",NA,NA
"254","D1_0HCD3CD28_05_Cell_CP_40_TNF",NA,NA
"255","D1_0HCD3CD28_05_Cell_CP_42_TNF",NA,NA
"256","D1_0HCD3CD28_05_Cell_CP_43_TNF",NA,NA
"257","D1_0HCD3CD28_05_Cell_CP_44_TNF",NA,NA
"258","D1_0HCD3CD28_05_Cell_CP_45_TNF",NA,NA
"259","D1_0HCD3CD28_05_Cell_CP_46_TNF",NA,NA
"260","D1_0HCD3CD28_05_Cell_CP_48_TNF",NA,NA
"261","D1_0HCD3CD28_05_Cell_CP_49_TNF",NA,NA
"262","D1_0HCD3CD28_05_Cell_CP_5_TNF",NA,NA
"263","D1_0HCD3CD28_05_Cell_CP_50_TNF",5,NA
"264","D1_0HCD3CD28_05_Cell_CP_51_TNF",NA,NA
"265","D1_0HCD3CD28_05_Cell_CP_53_TNF",NA,NA
"266","D1_0HCD3CD28_05_Cell_CP_54_TNF",NA,NA
